DOCNUM;ARTIFACT;MODE;RESULT;TARGET;MESSAGE
0000000117698580;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698580_CTRL.json;Frontend export completed.
0000000117698580;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698580_CONTENT.xml;Frontend export completed.
0000000117698580;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698583;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698583_STAT.json;Frontend export completed.
0000000117698583;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698583_CTRL.json;Frontend export completed.
0000000117698583;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698583_CONTENT.xml;Frontend export completed.
0000000117698583;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698586;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698586_STAT.json;Frontend export completed.
0000000117698586;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698586_CTRL.json;Frontend export completed.
0000000117698586;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698586_CONTENT.xml;Frontend export completed.
0000000117698586;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698589;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698589_STAT.json;Frontend export completed.
0000000117698589;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698589_CTRL.json;Frontend export completed.
0000000117698589;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698589_CONTENT.xml;Frontend export completed.
0000000117698589;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698592;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698592_STAT.json;Frontend export completed.
0000000117698592;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698592_CTRL.json;Frontend export completed.
0000000117698592;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698592_CONTENT.xml;Frontend export completed.
0000000117698592;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698596;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698596_STAT.json;Frontend export completed.
0000000117698596;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698596_CTRL.json;Frontend export completed.
0000000117698596;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698596_CONTENT.xml;Frontend export completed.
0000000117698596;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698598;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698598_STAT.json;Frontend export completed.
0000000117698598;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698598_CTRL.json;Frontend export completed.
0000000117698598;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698598_CONTENT.xml;Frontend export completed.
0000000117698598;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698600;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698600_STAT.json;Frontend export completed.
0000000117698600;CTRL.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698600_CTRL.json;Frontend export completed.
0000000117698600;CONTENT.xml;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698600_CONTENT.xml;Frontend export completed.
0000000117698600;CTRL_TABLE;GUI_DOWNLOAD;SUCCESS;ZALE_EXP_CTRL;Status 0000000000000001 registered.
0000000117698602;STAT.json;GUI_DOWNLOAD;SUCCESS;C:\Users\sesa857782\Documents\idoc_experiments\0000000117698602_STAT.json;Frontend export completed.
